,date,content,url,hashtags,topic
359,2015-01-25 17:11:12+00:00,"The #OscarsSoWhite predicament is unfortunate, but let's not forget that 12 Years a Slave won last year. Steve McQueen should have won too.",https://twitter.com/ianthomasmalone/status/559398092009930752,['OscarsSoWhite'],oscars
360,2015-01-25 16:59:23+00:00,"David O. was in three Oscar Movies this year

A Most Violent Year
Interstellar
Selma

Still gets no nomination 

#OscarsSoWhite #Oscars2015",https://twitter.com/Padma_Kai/status/559395114876141568,"['OscarsSoWhite', 'Oscars2015']",oscars
361,2015-01-25 16:52:06+00:00,Watched #Selma last night. It was amazing &amp; David Oyelowo was incredible! The film was definitely snubbed in many categories. #OscarsSoWhite,https://twitter.com/jules0rwhatever/status/559393285513306113,"['Selma', 'OscarsSoWhite']",oscars
362,2015-01-25 16:01:22+00:00,Disappointing week for Diversity in Film #OscarsSoWhite http://t.co/FTdxcUbULv #RT http://t.co/MFSnBnmA92,https://twitter.com/houseofblackuk/status/559380516592680961,"['OscarsSoWhite', 'RT']",oscars
363,2015-01-25 15:26:32+00:00,How about some racial diversity? #its2015 #allhailthecracker #Oscars2015 #OscarsSoWhite,https://twitter.com/JimiHolmberg/status/559371748790255617,"['its2015', 'allhailthecracker', 'Oscars2015', 'OscarsSoWhite']",oscars
364,2015-01-25 14:46:41+00:00,#OscarsSoWhite Limpieza étnica en los Oscar? http://t.co/qpYFdEzTjP,https://twitter.com/CARLOSPUECHABMB/status/559361722772127745,['OscarsSoWhite'],oscars
365,2015-01-25 14:15:22+00:00,"""The higher you go in Hollywood, the harder it is to find women directors"": http://t.co/wui2H0FVqV #womeninfilm #oscarssowhite",https://twitter.com/NYWIFT/status/559353841863639042,"['womeninfilm', 'oscarssowhite']",oscars
366,2015-01-25 14:01:15+00:00,#OscarsSoWhite an industry issue!  http://t.co/2BewQzHmkl #RT http://t.co/zcuCHYTopO,https://twitter.com/houseofblackuk/status/559350285882388480,"['OscarsSoWhite', 'RT']",oscars
367,2015-01-25 13:14:09+00:00,"#OscarsSoWhite ""racism is over"" has been the defense to the line-up.",https://twitter.com/ChattyAnny/status/559338432942460928,['OscarsSoWhite'],oscars
368,2015-01-25 12:51:05+00:00,White on white. Good #OscarsSoWhite graphic by the LAT: http://t.co/QWRX6JdP38,https://twitter.com/HawkHMB/status/559332628349063168,['OscarsSoWhite'],oscars
369,2015-01-25 11:22:50+00:00,"Limpieza étnica en los Oscar:
todos los actores y directores nominados son blancos
#Oscarssowhite
http://t.co/WyojfMV4PU",https://twitter.com/mejillonsuicida/status/559310418867671041,['Oscarssowhite'],oscars
370,2015-01-25 11:07:13+00:00,"Ein globales Beispiel, was diese weißen Männer so alles unterdrücken: #OscarsSoWhite beim #Oscar2015. Viefalt wird unterdrückt.",https://twitter.com/EinAugenschmaus/status/559306489865994240,"['OscarsSoWhite', 'Oscar2015']",oscars
371,2015-01-25 09:45:18+00:00,"#OscarsSoWhite Trending After Nominations Announced Video"" http://t.co/zX8pEDax7I #newsdict #news  White white",https://twitter.com/newsdict_005/status/559285877948428288,"['OscarsSoWhite', 'newsdict', 'news']",oscars
372,2015-01-25 09:36:47+00:00,"Trying to write about #OscarNoms but I'm too blinded but their whiteness, ugh.... #OscarsSoWhite #Oscars2015",https://twitter.com/_shewolf13/status/559283732863922176,"['OscarNoms', 'OscarsSoWhite', 'Oscars2015']",oscars
373,2015-01-25 07:53:18+00:00,"Limpieza étnica en los Oscar 
http://t.co/sxg0128aaA
25 finalistas, una raza
No pasaba desde 2011
#Oscarssowhite http://t.co/BXNMAKK3Pn",https://twitter.com/PeioHR/status/559257691269644289,['Oscarssowhite'],oscars
374,2015-01-25 06:30:02+00:00,"#Oscarssowhite they “don’t see color”

Illustration by Victoria Courtney http://t.co/gEk6BqGsbx",https://twitter.com/WebsterJournal/status/559236736761741313,['Oscarssowhite'],oscars
375,2015-01-25 05:20:49+00:00,The Potter love on this movie is on point. It's got my vote for Best Picture! #BoyhoodMovie #Oscars2015 #OscarsSoWhite,https://twitter.com/Robyn_Rambles/status/559219318148186112,"['BoyhoodMovie', 'Oscars2015', 'OscarsSoWhite']",oscars
376,2015-01-25 05:16:11+00:00,#OscarsSoWhite Here we go again,https://twitter.com/MADVPete/status/559218149514821632,['OscarsSoWhite'],oscars
377,2015-01-25 04:51:03+00:00,@TheAcademy #OscarsSoWhite #OscarNoms #Oscars2015 http://t.co/EQmqCHGO9z,https://twitter.com/TM_93_/status/559211823480573952,"['OscarsSoWhite', 'OscarNoms', 'Oscars2015']",oscars
378,2015-01-25 04:46:30+00:00,Good moms read Harry Potter to their kids #BoyhoodMovie #Oscars2015 #OscarsSoWhite,https://twitter.com/Robyn_Rambles/status/559210681979785216,"['BoyhoodMovie', 'Oscars2015', 'OscarsSoWhite']",oscars
379,2015-01-25 03:51:01+00:00,"A member of @TheAcademy ACTUALLY SAID THIS 😡🔥OMFG. #OscarsSoWhite Plz, if u aren't already, GET ANGRY #EnoughIsEnough http://t.co/diDh447Upc",https://twitter.com/peachy007keen/status/559196717745463296,"['OscarsSoWhite', 'EnoughIsEnough']",oscars
380,2015-01-25 03:32:55+00:00,@RealDLHughley Oakland Tribune gets a trophy for this one  #OscarsSoWhite http://t.co/fi1IFm7DTU,https://twitter.com/KimberleyMonari/status/559192161220972544,['OscarsSoWhite'],oscars
381,2015-01-25 03:32:08+00:00,@istevewilson  Oakland Tribune gets a trophy for this one  #OscarsSoWhite http://t.co/fi1IFm7DTU,https://twitter.com/KimberleyMonari/status/559191965305040896,['OscarsSoWhite'],oscars
382,2015-01-25 03:16:03+00:00,"#Diamonds come in all colors why are #OscarsSoWhite, Selma? http://t.co/pWy6ZO5WuT",https://twitter.com/VividPinkD/status/559187918062100481,"['Diamonds', 'OscarsSoWhite']",oscars
383,2015-01-25 03:14:16+00:00,New podcast taping tonight! #Oscars2015 #JakeGyllenhaal #OscarNoms #OscarsSoWhite #documentary @BloominSidewalk @KimberDion #prey,https://twitter.com/LunchwithLuis/status/559187468461670402,"['Oscars2015', 'JakeGyllenhaal', 'OscarNoms', 'OscarsSoWhite', 'documentary', 'prey']",oscars
384,2015-01-25 03:05:18+00:00,Why are there no white noms for the #BETHonors #BETSoBlack #OscarsSoWhite #Contradiction #BETSoRacist #WheresTheDiversityNow,https://twitter.com/couch_specimen/status/559185213314445312,"['BETHonors', 'BETSoBlack', 'OscarsSoWhite', 'Contradiction', 'BETSoRacist', 'WheresTheDiversityNow']",oscars
385,2015-01-25 02:54:07+00:00,"Just saw Selma. How the hell were these people not nominated for Oscars?  I mean, I know. But my god. #OscarsSoWhite",https://twitter.com/Stephaniellew/status/559182396525129728,['OscarsSoWhite'],oscars
386,2015-01-25 02:43:03+00:00,@chinamcclain some white person #OscarsSoWhite,https://twitter.com/AdrianMata26/status/559179611691425792,['OscarsSoWhite'],oscars
387,2015-01-25 02:37:28+00:00,#oscarsSoWHITE The 'Blackademy' pick for 2016 http://t.co/jY51FzPXGz,https://twitter.com/edmoore1964/status/559178206465769472,['oscarsSoWHITE'],oscars
388,2015-01-25 02:14:50+00:00,Unbelievable that David Oyelowo was not nominated for best actor!  #Selma #OscarsSoWhite,https://twitter.com/mayoliweidelich/status/559172513088167936,"['Selma', 'OscarsSoWhite']",oscars
389,2015-01-25 02:00:13+00:00,"l Opinión l #OscarsSoWhite, no hay ningún nominado de color compitiendo ni como escritor, director o actor  http://t.co/GMBS6JQJnu",https://twitter.com/GAS_TV/status/559168835023278081,['OscarsSoWhite'],oscars
390,2015-01-25 01:13:49+00:00,"#OscarsSoWhite looking for the real answers to #diversityimn n @geraldwebb,  isy changing diversity, he cast films like #Sharknado",https://twitter.com/MattsManagement/status/559157156469956609,"['OscarsSoWhite', 'diversityimn', 'Sharknado']",oscars
391,2015-01-25 00:58:35+00:00,18% of TV's first-time directors are women. 13% are minorities. The overlap is worse: http://t.co/GCyRQgfxol  #OscarsSoWhite #womeninfilm,https://twitter.com/videofest/status/559153324906143744,"['OscarsSoWhite', 'womeninfilm']",oscars
392,2015-01-25 00:55:54+00:00,IMAX CEO: 'Oscars' Nominating Process May Be Dated' #OscarsSoWhite @aolon  http://t.co/0gQhLT098M,https://twitter.com/videofest/status/559152649191583745,['OscarsSoWhite'],oscars
393,2015-01-25 00:46:10+00:00,"New video: I used footage of #Greenlight to make ""Drinking"" aka #OscarsSoWhite for dminix Come see him… http://t.co/oONipiYaSP",https://twitter.com/jonisaacjackson/status/559150199495745536,"['Greenlight', 'OscarsSoWhite']",oscars
394,2015-01-25 00:12:41+00:00,"Forget Leo, where's an Oscar for Vince Vaughn?! The man is the personification of acting itself. #smh #OscarsSoWhite #whereistheoscar",https://twitter.com/kurtdumb/status/559141773139013635,"['smh', 'OscarsSoWhite', 'whereistheoscar']",oscars
395,2015-01-24 23:30:29+00:00,@PrivilegeMeans well a black director won the Oscar last year and one was nominated this year but #oscarssowhite ? That will even out,https://twitter.com/WhitesareOktoo/status/559131150808281088,['oscarssowhite'],oscars
